,SNUADC/ART,SNUADC/ECG_II,Solar8000/ART_DBP,Solar8000/ART_MBP,Solar8000/ART_SBP,Solar8000/ETCO2,Solar8000/FEO2,Solar8000/FIO2,Solar8000/HR,Solar8000/INCO2,Solar8000/NIBP_DBP,Solar8000/NIBP_MBP,Solar8000/NIBP_SBP,Solar8000/PLETH_SPO2,Solar8000/RR_CO2,Primus/CO2,Primus/ETCO2,Primus/FEO2,Primus/FIO2,Primus/INCO2,Primus/MV,Primus/TV,Orchestra/PPF20_CE,Orchestra/PPF20_CP,Orchestra/PPF20_CT,Orchestra/PPF20_RATE,Orchestra/PPF20_VOL,Orchestra/RFTN20_CE,Orchestra/RFTN20_CP,Orchestra/RFTN20_CT,Orchestra/RFTN20_RATE,Orchestra/RFTN20_VOL,BIS/BIS
2895,0.0,0.0,0.028427037271004423,0.0003158559696778269,0.028427037271004423,0.07327858496525584,0.07327858496525584,0.07327858496525584,0.025900189513581806,0.07327858496525584,0.8367024636765635,0.8367024636765635,0.8367024636765635,0.0006317119393556538,0.07675300063171193,0.002405935989971897,0.015469613259668509,0.015469613259668509,0.015469613259668509,0.015469613259668509,0.015469613259668509,0.016574585635359115,0.0039488232506713,0.0039488232506713,0.0039488232506713,0.0039488232506713,0.0039488232506713,0.0039488232506713,0.0039488232506713,0.0039488232506713,0.0039488232506713,0.0039488232506713,0.000157952930026852
6373,0.0,0.0,0.018703241895261846,0.0003117206982543641,0.018703241895261846,0.03740648379052369,0.03740648379052369,0.03740648379052369,0.008728179551122194,0.03740648379052369,0.6811097256857855,0.6811097256857855,0.6811097256857855,0.030860349127182045,0.1552369077306733,0.00751986591443066,0.05343511450381679,0.05343511450381679,0.05343511450381679,0.05343511450381679,0.1504907306434024,0.16030534351145037,0.07575993764614186,0.07575993764614186,0.07575993764614186,0.07575993764614186,0.07560405300077942,0.07622759158222915,0.07622759158222915,0.07622759158222915,0.07607170693686671,0.07607170693686671,0.0001558846453624318
1043,1.2424274049667279e-06,1.2424274049667279e-06,0.027639751552795033,0.008074534161490683,0.02701863354037267,0.11677018633540373,0.1170807453416149,0.1170807453416149,0.008074534161490683,0.11677018633540373,0.6052795031055901,0.6052795031055901,0.6052795031055901,0.005279503105590062,0.14813664596273293,0.0011877605991481917,0.05434782608695652,0.05434782608695652,0.05434782608695652,0.05434782608695652,0.075,0.08478260869565217,0.004968944099378882,0.004968944099378882,0.004968944099378882,0.004968944099378882,0.004968944099378882,0.004813664596273292,0.004813664596273292,0.004813664596273292,0.004968944099378882,0.004968944099378882,0.00015527950310559007
5628,0.0,0.0,1.0,1.0,1.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0009276437847866419,0.045454545454545456,0.07606679035250463,0.05225726654298083,0.07606679035250463,0.0009276437847866419,0.08070500927643785,0.0025978010232861936,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.050865800865800864,0.06168831168831169,0.07607855265192516,0.07607855265192516,0.07607855265192516,0.07607855265192516,0.07607855265192516,0.07638781506107932,0.07638781506107932,0.07638781506107932,0.07623318385650224,0.07623318385650224,0.00015463120457708364
946,0.0,0.0,0.07906114885731934,0.032736256948733784,0.07906114885731934,0.03798641136504015,0.03798641136504015,0.03798641136504015,0.00030883261272390367,0.03798641136504015,0.6914762198888202,0.6914762198888202,0.6914762198888202,0.00030883261272390367,0.04725138974675726,0.00018779899576958051,0.046486486486486484,0.046486486486486484,0.046486486486486484,0.046486486486486484,0.05189189189189189,0.05621621621621622,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.00015444015444015445
1311,0.0,0.0,0.11074724620422745,0.09526644834772253,0.11074724620422745,0.04733551652277464,0.04733551652277464,0.04733551652277464,0.0026793688597796963,0.04733551652277464,0.826436439416493,0.6248883596308425,0.826436439416493,0.004465614766299494,0.051801131289074126,0.0027603453408752603,0.014583333333333334,0.014583333333333334,0.014583333333333334,0.014583333333333334,0.014583333333333334,0.014583333333333334,0.004316760940756177,0.004316760940756177,0.004316760940756177,0.004465614766299494,0.004465614766299494,0.004316760940756177,0.004316760940756177,0.004316760940756177,0.004316760940756177,0.004316760940756177,0.00014885382554331647
5528,0.0,0.0,0.9589122080993201,0.9589122080993201,0.9589122080993201,0.10168489506355306,0.10168489506355306,0.10168489506355306,0.0008867868755542418,0.10168489506355306,0.007685486254803429,0.007685486254803429,0.007685486254803429,0.0014779781259237363,0.10286727756429205,8.276677505172923e-05,0.016546018614270942,0.016546018614270942,0.016546018614270942,0.016546018614270942,0.03412616339193381,0.033092037228541885,0.005616316878510198,0.005616316878510198,0.005616316878510198,0.005616316878510198,0.005616316878510198,0.005616316878510198,0.005616316878510198,0.005616316878510198,0.005616316878510198,0.005616316878510198,0.00014779781259237365
4000,0.0,0.0,0.1337635670284541,0.10501613376356703,0.1337635670284541,0.11410970959225579,0.11410970959225579,0.11410970959225579,0.0014667057788207685,0.11410970959225579,0.6491639777060721,0.6491639777060721,0.6491639777060721,0.0002933411557641537,0.11586975652684071,0.00014315048401290702,0.03285420944558522,0.03285420944558522,0.03285420944558522,0.03285420944558522,0.06262833675564682,0.07084188911704312,0.005426811381636844,0.005426811381636844,0.005426811381636844,0.005573481959518921,0.005573481959518921,0.005426811381636844,0.005426811381636844,0.005426811381636844,0.005426811381636844,0.005426811381636844,0.00014667057788207686
3838,0.0,0.0,1.0,1.0,1.0,0.037425574142330595,0.03770910121916643,0.03770910121916643,0.007371703997731784,0.037425574142330595,0.014743407995463568,0.014743407995463568,0.014743407995463568,0.010774028919761838,0.05358661752197335,0.0024250645965522796,0.021825396825396824,0.021825396825396824,0.021825396825396824,0.021825396825396824,0.030753968253968252,0.03273809523809524,0.08535375017722954,0.08535375017722954,0.08535375017722954,0.08521196653906139,0.08521196653906139,0.08521196653906139,0.08521196653906139,0.08521196653906139,0.08535375017722954,0.08521196653906139,0.0001417836381681554
4745,1.1237293430453514e-06,1.1237293430453514e-06,0.01601123595505618,0.0011235955056179776,0.015870786516853932,0.050702247191011234,0.05252808988764045,0.05252808988764045,0.0023876404494382023,0.050702247191011234,0.7391853932584269,0.7391853932584269,0.7391853932584269,0.002106741573033708,0.05435393258426966,5.7310196495312926e-05,0.021621621621621623,0.023095823095823097,0.023095823095823097,0.021621621621621623,0.021621621621621623,0.02407862407862408,0.005407683123814875,0.005407683123814875,0.005407683123814875,0.005407683123814875,0.005407683123814875,0.005477912774773509,0.005477912774773509,0.005477912774773509,0.005407683123814875,0.005407683123814875,0.00014045930191726948
