,Solar8000/ART_DBP,Solar8000/ART_MBP,Solar8000/ART_SBP,Solar8000/HR,Solar8000/PLETH_SPO2,Primus/ETCO2,Orchestra/PPF20_RATE,BIS/BIS
818,0.08349677780891006,0.060016811431773606,0.08349677780891006,0.017427850938638273,0.012104230876996358,0.026083545793292803,0.04267301765200336,0.000644438217988232
819,0.025941553367713706,0.01562744178777934,0.025785278949835913,0.0473511486169714,0.04875761837787154,0.04319300164024057,0.07688701359587435,0.00023441162681669012
822,0.039799528301886794,0.029874213836477988,0.039799528301886794,0.029874213836477988,0.0220125786163522,0.08665749656121045,0.016214622641509434,0.00014740566037735848
831,0.06308567603748326,0.050200803212851405,0.06107764390896921,0.05036813922356091,0.04785809906291834,0.07845433255269321,0.0568153292611497,0.00016735001255125095
853,0.04480968858131488,0.02820069204152249,0.04480968858131488,0.05380622837370242,0.04948096885813149,0.051452784503631964,0.044290657439446365,0.004065743944636678
872,0.05112624410686223,0.03174436877946569,0.05070717653221582,0.03174436877946569,0.02179151388161341,0.09167583425009168,0.014196657761014198,0.00015715857300015716
881,0.09085857182550708,0.05084745762711865,0.09085857182550708,0.15448735759933316,0.1594887468741317,0.14480077745383868,0.3051271363067945,0.0006947339169098236
914,0.8798185941043084,0.8798185941043084,0.8798185941043084,0.13696145124716552,0.10430839002267574,0.06984126984126984,0.13381719210705376,0.03628940802903153
946,0.17386550027337344,0.12383816293056316,0.17359212684527064,0.08201202843083652,0.026790595954073265,0.12523900573613767,0.055768179332968834,0.0005467468562055768
958,0.07025920873124147,0.039051841746248296,0.07025920873124147,0.10334242837653479,0.05115961800818554,0.03579952267303103,0.03180694124669566,0.0
963,0.04319578577699736,0.02739244951712028,0.043371378402107114,0.026865671641791045,0.0276558384547849,0.01935483870967742,0.03270412642669008,8.77963125548727e-05
972,0.038995965934558494,0.018713581353653072,0.03877185118780816,0.06633796503809951,0.04863290004482295,0.04823529411764706,0.03462572837292694,0.001232631107126849
988,0.04906166219839142,0.03686327077747989,0.04906166219839142,0.04088471849865952,0.034450402144772116,0.05018761726078799,0.03136729222520107,0.00013404825737265417
997,0.8119765494137353,0.8119765494137353,0.8119765494137353,0.12646566164154105,0.07537688442211055,0.212298682284041,0.10094240837696335,0.012984293193717278
1001,0.0721318493150685,0.05543664383561644,0.0721318493150685,0.0644263698630137,0.06014554794520548,0.10561797752808989,0.005244006849315069,0.00021404109589041095
1016,0.03898240729021643,0.018984938615365144,0.03898240729021643,0.05163903303379319,0.12643969117833187,0.053144375553587246,0.09207695228452095,0.0014555119605113276
1026,0.12094531974050046,0.10630213160333642,0.12094531974050046,0.04874884151992586,0.008433734939759036,0.049626986701265,0.05347544022242817,0.0041241890639481
1028,0.09729359369647139,0.07194244604316546,0.09695101062007537,0.07673860911270983,0.06543336759164098,0.08872901678657075,0.056878533493232825,0.00017132088401576153
1043,0.10440503432494279,0.08638443935926773,0.10383295194508009,0.08638443935926773,0.043764302059496565,0.12912912912912913,0.004863395794593048,0.00014304105278214847
1044,0.0637247786326027,0.05080563216722311,0.0635796196835535,0.04383800261286108,0.053563652199158075,0.07516505840528187,0.030846276672956887,0.00029031789809841774
1046,0.11522502393871688,0.05059048834982445,0.11522502393871688,0.05011171401212895,0.03558889243536546,0.044109436069235064,0.05713829702338201,0.001596041816295587
1078,0.07088880892407341,0.05397625044980209,0.07088880892407341,0.055055775458798126,0.042821158690176324,0.07682619647355164,0.10382366171839856,0.0002699055330634278
1154,0.04173333333333333,0.0048,0.04133333333333333,0.059333333333333335,0.0408,0.032664489034064395,0.12866666666666668,0.0004
1165,0.15441582845142035,0.14667845694705428,0.15408422681551895,0.0349287056482812,0.03946059467226705,0.07504835589941973,0.03045376665008567,0.001989719781130824
1167,0.9644454909347775,0.9644454909347775,0.9644454909347775,0.07134447845538026,0.07040263715563927,0.051070840197693576,0.04532611255003532,0.0004709206498704968
1172,0.03631961259079903,0.016237003275886626,0.03631961259079903,0.010967098703888335,0.007976071784646061,0.020937188434695914,0.0043444199131116015,0.00014243999715120005
1176,0.025165562913907286,0.0005886681383370125,0.024724061810154525,0.044591611479028695,0.04091243561442237,0.06951596292481978,0.04260485651214128,0.00029433406916850625
1191,0.03615358477743799,0.004553177030241251,0.03547400611620795,0.023037716615698266,0.022426095820591234,0.029726516052318668,0.014101257220523276,0.0008154943934760449
1193,0.08821402747650037,0.06845022897083634,0.08797300554350446,0.04434803567124608,0.02940467582550012,0.05735976381273724,0.050918951491413074,0.0016269960831575775
1208,0.030047443331576173,0.0158144438587243,0.030047443331576173,0.023119210783944574,0.03034867083364711,0.03505535055350553,0.019956322012199715,7.530687551773477e-05
1212,0.07175925925925926,0.045987654320987656,0.07191358024691358,0.06728395061728396,0.045987654320987656,0.062095032397408205,0.06998456790123457,0.00015432098765432098
1213,0.08169556840077072,0.05973025048169557,0.08169556840077072,0.05973025048169557,0.05529865125240848,0.06405933917734322,0.019171483622350674,0.0019267822736030828
1232,0.10420523670986512,0.0833112933086485,0.10394075641364718,0.0833112933086485,0.08172441153134091,0.06382978723404255,0.08583520698320328,0.0026451527575717497
1249,0.1324181919023849,0.11425402107598447,0.1324181919023849,0.05185801442041043,0.04492512479201331,0.14410480349344978,0.7854121888650073,0.013866740622616653
1293,0.06837606837606838,0.0504099075527647,0.06802721088435375,0.05267748124890982,0.05459619745334031,0.036019536019536016,0.05276469562183848,0.0
1294,0.09515969706947645,0.030293052354297002,0.09515969706947645,0.11326967402041488,0.11030622324662497,0.05414746543778802,0.20582907953235632,0.0057632142269059775
1297,0.13864628820960698,0.11280931586608442,0.13864628820960698,0.11280931586608442,0.12954876273653565,0.11847133757961784,0.08626023657870792,0.003639672429481347
1311,0.21496062992125983,0.20131233595800524,0.21496062992125983,0.08136482939632546,0.05328083989501312,0.09090909090909091,0.05486284289276808,0.000525003281270508
1319,0.04492348198124074,0.03077176238275465,0.04492348198124074,0.05594865887773572,0.05529043936152707,0.06966033390903857,0.049777850913279575,0.01061378969886457
1350,0.08380288904825325,0.07079192705665403,0.08380288904825325,0.04005737117098658,0.02632926954205512,0.09860164933667981,0.06357256288099995,5.122688386865427e-05
1367,0.09019493744544661,0.07942973523421588,0.09034041315100379,0.045242944428280474,0.09601396566773349,0.07331975560081466,0.06743289444969812,0.0036371571979340947
1376,0.11994813053814567,0.04408904257618327,0.11994813053814567,0.08212664793602767,0.062243354225199915,0.030257186081694403,0.15540905652220902,0.0003242191721603804
1410,0.032864302235929066,0.014456437933693137,0.032864302235929066,0.038646877409406324,0.015709329221279877,0.024283305227655986,0.14804105826225242,0.001156570767673847
1413,0.06026908292147172,0.03459637561779242,0.05958264689730917,0.042970895112575506,0.062465678198791875,0.0446685878962536,0.07159527732015376,0.0017160900604063702
1440,0.060626858842370165,0.032944406314344546,0.060626858842370165,0.13269274765499886,0.06520247083047358,0.03682946357085669,0.10525111543301682,0.0005720169317011784
1444,0.06019362985828539,0.036901922267433704,0.06005331836677424,0.08909779710958328,0.03956784060614564,0.07265586647029947,0.06103978109871606,0.001824177366168526
1452,0.0425130890052356,0.015706806282722512,0.0425130890052356,0.09172774869109948,0.061989528795811516,0.1663003663003663,0.011938422871504869,0.00031416902293433867
1456,0.05704697986577181,0.03547459252157239,0.05680728667305848,0.1361457334611697,0.08437200383509108,0.04278523489932886,0.05357784969435455,0.00047944384513963804
1469,0.04268873105367211,0.024822435381123234,0.04268873105367211,0.028117448927290033,0.02387054257889727,0.03613531522296258,0.006956394390949365,0.0007322520411525647
1498,0.10165912518853695,0.08627450980392157,0.10165912518853695,0.09140271493212669,0.08235294117647059,0.09398099260823653,0.11374264594961532,0.0
1503,0.11914893617021277,0.09852700490998363,0.11914893617021277,0.13682487725040918,0.09198036006546645,0.13631156930126,0.07168576104746317,0.0004909983633387888
1523,0.035877076900455815,0.021761505660932216,0.03580355830024996,0.023893545066901927,0.021835024261138068,0.030614870079753023,0.018968496121751277,0.002058596478329596
1539,0.03192804174677286,0.023413897280966767,0.03199670420214227,0.025885745674265312,0.01867618786047789,0.0691975012013455,0.02863224388904147,0.004566053282065366
1546,0.05248847381487173,0.03581983686014895,0.05248847381487173,0.06809315521929306,0.030500059108641682,0.04468349193214729,0.04285376522047523,0.0
1554,0.11890447561790247,0.10153640614562458,0.11890447561790247,0.10587842351369406,0.09953239812959253,0.11448598130841121,0.1022214798730583,0.0
1555,0.07711499206169199,0.06486731685189386,0.07711499206169199,0.09276479927421184,0.060331140848264915,0.09206349206349207,0.03742345202993876,0.00011340440009072352
1585,0.16479942175641488,0.13299602457535237,0.1640766172750271,0.11167329237441272,0.09685580050596314,0.0922882427307206,0.09723477317910717,0.0009036688957166094
1614,0.08198757763975155,0.06811594202898551,0.08198757763975155,0.06459627329192547,0.06024844720496894,0.09782608695652174,0.08779376747075267,0.0018635469510301273
1623,0.2606236021576108,0.19721089330351269,0.26101828706749114,0.03986317589790817,0.02262860149980266,0.05478821362799263,0.04940464443128741,6.578514571409775e-05
1656,0.019905899384726745,0.0018096272167933405,0.019905899384726745,0.11074918566775244,0.1078537821208831,0.14936708860759493,0.2620814479638009,0.0005429864253393666
1665,0.09952200024512808,0.0321117784042162,0.10001225640397107,0.1231768599093026,0.11533276136781469,0.05062205062205062,0.042103327817613535,0.013237727523441808
1676,0.06500364166059723,0.03896576839038601,0.064639475600874,0.07483612527312454,0.04879825200291333,0.1286624203821656,0.0334122359796067,0.013656227239621267
1681,0.06691054991739438,0.026787821571866887,0.06679254189284871,0.13606325230115648,0.0676185980646684,0.046242774566473986,0.033337266934151524,0.0013570922822751948
1697,0.14849708389412292,0.1278600269179004,0.14849708389412292,0.14221624046657694,0.13458950201884254,0.1726844583987441,0.08750280457706978,0.0
1719,0.06749816581071166,0.04512105649303008,0.06749816581071166,0.11408657373440939,0.05612619222303742,0.05263157894736842,0.09190974133186572,0.004035956705191708
1726,0.030742518639566948,0.01532019201307323,0.030436114799305483,0.030946787866407924,0.02400163415381473,0.06540385989992852,0.03212133592074354,0.0001532019201307323
1757,0.05527638190954774,0.042565770026603604,0.05527638190954774,0.05113804315696128,0.053798403783624,0.03722854188210962,0.12924918711203073,0.0014779781259237363
1762,0.09646846440257249,0.08078528714882094,0.09658129301590883,0.03960284328105607,0.03396141261423897,0.09198578760363206,0.049139633286318755,5.641748942172073e-05
1768,0.06821369373964044,0.029580517659059034,0.06821369373964044,0.0702537294402652,0.03353308682901951,0.05800981704596162,0.01976410583359898,0.0002550207204335352
1771,0.048011639185257034,0.00024248302618816683,0.048011639185257034,0.07322987390882638,0.1345780795344326,0.01102629346904156,0.2697623666343356,0.00024248302618816683
