,Solar8000/ART_DBP,Solar8000/ART_MBP,Solar8000/ART_SBP,Solar8000/ETCO2,Solar8000/FEO2,Solar8000/FIO2,Solar8000/HR,Solar8000/INCO2,Solar8000/NIBP_DBP,Solar8000/NIBP_MBP,Solar8000/NIBP_SBP,Solar8000/PLETH_SPO2,Solar8000/RR_CO2,Primus/CO2,Primus/ETCO2,Primus/EXP_SEVO,Primus/FEO2,Primus/FIO2,Primus/INCO2,Primus/INSP_SEVO,Primus/MAC,Primus/MAWP_MBAR,Primus/MV,Primus/TV,Orchestra/RFTN20_CE,Orchestra/RFTN20_CP,Orchestra/RFTN20_CT,Orchestra/RFTN20_RATE,Orchestra/RFTN20_VOL,BIS/BIS
687,0.0589924878479894,0.02562969509500663,0.0589924878479894,0.07048166151126822,0.07070260715863898,0.07070260715863898,0.0013256738842244808,0.07048166151126822,0.5821917808219178,0.5821917808219178,0.5821917808219178,0.0024304021210782146,0.0722492266902342,7.071435642864214e-06,0.05955143078112916,0.888631090487239,0.05955143078112916,0.05955143078112916,0.05955143078112916,0.888631090487239,0.061871616395978345,0.058004640371229696,0.058004640371229696,0.060324825986078884,0.31985415976135234,0.31985415976135234,0.31985415976135234,0.3128936029168048,0.3128936029168048,0.00044194011711413104
3165,0.015895543570820323,0.003311571577254234,0.015895543570820323,0.0017977102847951557,0.0017977102847951557,0.0017977102847951557,0.0018923266155738481,0.0017977102847951557,0.6954300312233892,0.6954300312233892,0.6954300312233892,0.0024600246002460025,0.004920049200492005,0.0022375174758743994,0.025827814569536423,0.025496688741721854,0.025827814569536423,0.025827814569536423,0.025827814569536423,0.025496688741721854,0.025496688741721854,0.025496688741721854,0.031125827814569535,0.03145695364238411,0.0038319613965370424,0.0037846532311476963,0.0038319613965370424,0.0037846532311476963,0.0037846532311476963,9.46163307786924e-05
2648,0.08015768725361366,0.0596802452912834,0.08026719229084538,0.07227332457293036,0.07227332457293036,0.07227332457293036,0.0016425755584756898,0.07227332457293036,0.7181340341655716,0.7181340341655716,0.7181340341655716,0.0014235654840122646,0.07336837494524748,0.0011310472919696518,0.05711000383288616,0.06477577615944806,0.05711000383288616,0.05711000383288616,0.05711000383288616,0.06477577615944806,0.05711000383288616,0.05711000383288616,0.05711000383288616,0.05787658106554235,0.09751957509719104,0.09751957509719104,0.09751957509719104,0.09751957509719104,0.09751957509719104,0.0009855992991293873
3078,0.040740740740740744,0.0013227513227513227,0.04047619047619048,0.0021164021164021165,0.002380952380952381,0.002380952380952381,0.0013227513227513227,0.0021164021164021165,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.002380952380952381,0.14894179894179893,7.196163175116515e-05,0.023148148148148147,0.18981481481481483,0.023148148148148147,0.023148148148148147,0.023148148148148147,0.18981481481481483,0.023148148148148147,0.022222222222222223,0.16666666666666666,0.16666666666666666,0.061375661375661375,0.061375661375661375,0.061507936507936505,0.061375661375661375,0.061375661375661375,0.00013227513227513228
4568,0.012847132104853361,0.0014274591227614846,0.012847132104853361,0.0027251492343628343,0.0027251492343628343,0.0027251492343628343,0.011808980015572281,0.0027251492343628343,0.7093174150012976,0.7093174150012976,0.7093174150012976,0.010770827926291202,0.004152608357124318,0.0014763197073107933,0.023614895549500452,0.023614895549500452,0.023614895549500452,0.023614895549500452,0.023614895549500452,0.023614895549500452,0.023614895549500452,0.023614895549500452,0.025885558583106268,0.026793823796548592,0.005320529457565533,0.005320529457565533,0.005320529457565533,0.005450298468725669,0.0055151829743057355,0.0013625746171814172
6133,0.010956759929563686,0.0019565642731363725,0.010956759929563686,0.03482684406182743,0.03482684406182743,0.03482684406182743,0.0019565642731363725,0.03482684406182743,0.7137546468401487,0.7137546468401487,0.7137546468401487,0.0060653492467227545,0.03404421835257288,0.001731238524283516,0.0034223134839151265,0.03969883641341547,0.0034223134839151265,0.0034223134839151265,0.0034223134839151265,0.03969883641341547,0.013004791238877482,0.0027378507871321013,0.004106776180698152,0.0034223134839151265,0.8213656818626491,0.8213656818626491,0.8213656818626491,0.8211700254353356,0.8211700254353356,0.0017609078458227353
2883,0.06797776827704147,0.0025651988029072254,0.06776400171013254,0.0036340316374519027,0.0036340316374519027,0.0036340316374519027,0.003847798204360838,0.0036340316374519027,0.8026934587430525,0.8026934587430525,0.8026934587430525,0.00470286447199658,0.013039760581445061,0.002272956605170848,0.02468212415856395,0.0456245325355273,0.02468212415856395,0.02468212415856395,0.02468212415856395,0.0456245325355273,0.02468212415856395,0.02393418100224383,0.029917726252804786,0.03590127150336574,0.04521162890123984,0.04521162890123984,0.04521162890123984,0.045318512184694314,0.04521162890123984,0.1917486105173151
767,0.018922852983988356,0.0025142252216488023,0.018790525340743682,0.06431123461691148,0.06431123461691148,0.06431123461691148,0.003572846367606193,0.06431123461691148,0.6998809051210798,0.6998809051210798,0.6998809051210798,0.005690088659520974,0.06867804684398571,0.0035191994350647357,0.08429828624363131,0.02269569245020843,0.08429828624363131,0.08429828624363131,0.08429828624363131,0.02269569245020843,0.08429828624363131,0.08383510884668828,0.08383510884668828,0.08800370541917554,0.09395884337987163,0.09395884337987163,0.09382650698074506,0.07787997088599219,0.07794613908555548,0.0013895321908290875
4907,0.037888463175819495,0.012558535547041293,0.037888463175819495,0.011707109408258833,0.011707109408258833,0.011707109408258833,0.016815666240953597,0.011707109408258833,0.8954874414644529,0.8954874414644529,0.8954874414644529,0.010004257130693913,0.012345679012345678,0.0022242697463549055,0.02531645569620253,0.026061057334326135,0.02531645569620253,0.02531645569620253,0.02531645569620253,0.026061057334326135,0.026061057334326135,0.026061057334326135,0.026061057334326135,0.026061057334326135,0.06961149547631719,0.06961149547631719,0.06961149547631719,0.06971793507184673,0.06961149547631719,0.00010643959552953698
4942,0.025568531038721573,0.008604794099569761,0.02544560540872772,0.023724646588813767,0.023847572218807622,0.023847572218807622,0.01094038106945298,0.023724646588813767,0.5405039950829748,0.5405039950829748,0.5405039950829748,0.006637984019668101,0.026674861708666255,0.0015311827280228075,0.046021505376344085,0.051182795698924734,0.046021505376344085,0.046021505376344085,0.046021505376344085,0.051182795698924734,0.046021505376344085,0.04559139784946237,0.04559139784946237,0.048602150537634406,0.10971112476951445,0.10971112476951445,0.10971112476951445,0.10971112476951445,0.10977258758451137,0.001290719114935464
